Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Utilities—Independent Power Producers,Utilities,147.74,99,99,99,99,"VST,TAC,NRG"
2,Softwareâ€”Infrastructure,Technology,134.51,99,80,42,38,"ARQQ,ALLT,ACIW,ALTR,APPN,AKAM,ARBE,ADBE"
3,Softwareâ€”Application,Technology,133.86,98,99,90,88,"APP,AMST,API,AEYE,ASAN,AGYS,ALKT,AGMH,ACVA,ADSK,APPF,ANSS,ALRM,ALIT,ANY,APPS"
4,Capital Markets,Financial Services,119.29,98,98,75,90,"MFH,HUT,BTCS,TIGR,SIEB,IBKR,PWP,FRHC,VIRT,CIFR,COHN,PJT,OPY,LPLA,PIPR,EVR,FUTU,SF,GS,MS,RJF,LAZ,HLI,SNEX,MC,TW,WHG,SCHW,AC,MARA,NMR,BTCM,DFIN,MKTX,SRL,HGBL,AMRK,BITF,XP"
5,Travel Services,Consumer Cyclical,117.89,97,98,84,85,"TZOO,TCOM,RCL,MMYT,CCL,NCLH,BKNG,EXPE,TOUR,LIND,DESP,TNL,YTRA,TRIP"
6,Insurance—Property & Casualty,Financial Services,117.38,96,96,91,92,"KINS,ROOT,LMND,UFCS,MCY,AXS,PLMR,DGICB,HRTG,CINF,GBLI,RLI,HMN,PRA,THG,DGICA,WTM,PGR,KMPR,HCI,MKL,TRV,KNSL,L,WRB,STC,CNA,UVE,SAFT,CB,NMIH,NODK,CNFR,SIGI,SIGIP"
7,Insurance Brokers,Financial Services,117.35,96,23,26,51,"HUIZ,EHTH,SLQT,CRVL,GOCO,BRO,AON,AJG,MMC,ERIE,TIRX,RELI"
8,Consumer Electronics,Technology,116.9,95,88,96,94,"VUZI,KOSS,ATER,VIOT,AAPL,VOXX,SONY,UEIC,HEAR,SONO,MSN,IRBT,LPL,HBB,GPRO"
9,Credit Services,Financial Services,116.57,95,93,88,68,"LX,FOA,UPST,SOFI,QFIN,ATLC,LC,XYF,SYF,PMTS,ENVA,SNFCA,QD,DFS,OPRT,SLM,FINV,AXP,COF,PYPL,LU,RM,MFIN,YRD,V,CPSS,EZPW,MA,OMF,AGM,NNI,AIHS,BBDC,ATLCP,SLMBP,GDOT,ALLY,SNTG,IX,CACC,LPRO,PRAA,NISN,GSBD,OCSL,FCFS,NAVI,PT,WU,WRLD,LMFA"
10,Engineering & Construction,Industrials,112.25,94,97,95,96,"AGX,PRIM,IESC,LMB,ROAD,TPC,STRL,GVA,FIX,EME,MTZ,GLDD,WLDN,PWR,MYRG,JCI,ORN,FLR,J,ACM,DY,MTRX,APG,RCMT,BBCP,TTEK,STN,KBR,NVEE,BLD,AMRC"
